frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
31,0.2583323,319.2008400826628,710.0289964480529,199.50052505166425,443.7681227800331,84.2578381102972,0.625,0.0,0.0,50.54753219230017,,,,
32,0.2666656,319.19821164472364,710.0262687176962,199.49888227795228,443.76641794856016,84.2010229706966,0.625,-0.001642773711978407,-0.0017048314729208869,67.40515881423703,,,,
33,0.2749989,319.1966371116988,710.024500305213,199.49789819481174,443.76531269075815,84.27879988050702,0.625,-0.0026268568525154024,-0.0028100892749307604,84.26300943367414,,,,
34,0.2833322,319.1976330789618,710.0233063934382,199.49852067435114,443.7645664958989,84.28813310968428,0.625,-0.0020043773131135367,-0.003556284134162979,84.26931931075184,809.3464813682687,-0.007777624603345339,0.0036830567030432387,0.008605599987705359
35,0.29166549999999997,319.199048343192,710.0263023555001,199.49940521449497,443.76643897218753,84.28925309718555,0.625,-0.0011198371692842102,-0.00168380784555211,84.27007649600117,404.76208578742296,0.04945535445171939,0.13471437210507622,0.1435053801625923
36,0.2999988,319.20032157642993,710.0292419841843,199.50020098526872,443.7682762401152,84.2893874956857,0.625,-0.00032406639553528294,0.00015346008211736262,84.27016735823108,-0.2339723488140842,0.08667811117412788,0.23390124789654448,0.24944516175759998
37,0.3083321,319.20150865516564,710.0352496399128,199.50094290947854,443.7720310249455,84.20480889694322,0.625,0.0004178578142841616,0.003908244912395276,84.27017826169866,-0.43413299358323776,0.08124997550991914,0.3014635109976034,0.3122207664191551
38,0.3166654,319.20241562932955,710.0400936593658,199.50150976833098,443.77505853710363,84.27925419165662,0.625,0.000984716666721397,0.006935757070550608,84.25326062480228,-1.3126107669141445,0.06852927442736129,0.34295936507054525,0.34973902776660787
39,0.3249987,319.2030497223292,710.0434038804478,199.50190607645573,443.7771274252799,84.28818762702223,0.625,0.0013810247914705087,0.009004645246818654,84.2512305083747,-1.4180280997138948,0.05498705900926603,0.3635804682479009,0.3677150167587005
40,0.333332,319.20361694321264,710.0491662217156,199.5022605895079,443.78072888857224,84.2046649127036,0.625,0.001735537843643442,0.012606108539159777,84.21538459948154,-12.197003471513156,0.037819710340131776,0.2575698037544285,0.2603315852836653
41,0.3416653,319.2039873657007,710.0534805851128,199.50249210356293,443.78342536569545,84.27923691354786,0.625,0.001967051898674299,0.015302585662368529,84.21108309041435,-66.42626940772256,0.023338127308233526,0.15707771679090357,0.15880200659468577
42,0.3499986,319.2040299591031,710.0524208914778,199.50251872443943,443.7827630571736,84.02557935247731,0.625,0.0019936727751712624,0.014640277140529179,83.76197181655286,-166.6506596055495,-0.20626345614302777,-0.9265443767929046,0.949225524049274
43,0.3583319,319.20397149825993,710.0505654652645,199.50248218641246,443.7816034157903,84.25774664632071,0.625,0.00195713474820991,0.013480635757218806,81.48551047052541,-298.5593960346521,-17.4346951909322,-58.38876150697435,60.93616386612341
44,0.36666519999999997,319.18929888025656,709.9816345024068,199.49331180016034,443.73852156400426,82.04263125771473,0.625,-0.007213251503912943,-0.02960121602882282,77.30748079992009,-458.4061928404194,-50.27007629461252,-131.86486591738847,141.12201612107518
45,0.3749985,318.04130857973587,706.156597691587,198.77581786233492,441.3478735572419,72.82235818256639,0.625,-0.7247071893293366,-2.420249222791199,71.77545952460369,-632.0925089954451,-99.57017567490837,-244.92723387117883,264.39283230775993
46,0.3833318,315.8526623514135,701.2625246879177,197.40791396963346,438.2890779299486,63.389088560521245,0.625,-2.0926110820307997,-5.479044850084506,65.110901456429,-755.7665814835628,-165.62698147301325,-367.6008073923109,403.1905884161245
47,0.3916651,312.56604479948936,693.7240039473282,195.35377799968086,433.57750246708014,56.365472975895365,0.625,-4.146747051983397,-10.190620312952944,57.42488929049415,-827.0023673925851,-249.57852083536008,-481.8301030152597,542.6321831904758
48,0.3999984,308.16221690058745,685.5439429993257,192.60138556286716,428.4649643745786,50.93495630544729,0.625,-6.89913948879709,-15.303158405454496,49.99536220314055,-852.1674124948427,-337.803919390872,-534.6914026190889,632.4605790012555
49,0.40833169999999996,302.5507973788381,677.8597561227504,189.09424836177382,423.66234757671896,43.61257042804039,0.625,-10.406276689890433,-20.105775203314124,42.84918665895695,-841.07655965784,-418.2454377246328,-563.2177274098677,701.5293683419146
50,0.416665,295.5211373680562,670.5106467680218,184.70071085503514,419.0691542300136,35.67472274579844,0.625,-14.799814196629114,-24.69896855001946,36.26862603188734,-793.2282007397612,-483.3021194409064,-532.7530984334703,719.3099488722056
51,0.4249983,287.9697447018881,663.7148263853205,179.98109043868004,414.8217664908253,27.658210839603235,0.625,-19.519434612984213,-28.946356289207756,30.066184983445623,-713.9934480581445,-522.5229358977015,-470.992608307228,703.4658880281256
52,0.4333316,280.34603238399416,658.2072727859231,175.21627023999633,411.37954549120195,23.46266984054731,0.625,-24.28425481166792,-32.38857728883113,24.373846464370896,-601.4412577721843,-543.7163918243516,-399.39694085742195,674.6446702559496
53,0.44166489999999997,273.32749384685695,654.1445613768727,170.8296836542856,408.84035086054547,19.922751063238724,0.625,-28.670841397378666,-34.92777191948761,20.245754199625875,-483.4847512091605,-529.9730326483518,-313.80240240318267,615.908567149784
54,0.4499982,266.30318291491915,651.233399904773,166.43948932182445,407.02087494048317,15.150877832666772,0.625,-33.0610357298398,-36.747247839549914,17.789234491992215,-369.0505292647702,-482.0774144662544,-221.03338226237088,530.3342244404109
55,0.4583315,260.18974318430816,649.5905702884503,162.6185894901926,405.9941064302814,15.034261422073333,0.625,-36.881935561471664,-37.77401634975166,16.123508645630864,-262.98120928844924,-407.8691181878045,-137.69390816097464,430.48441309290183
56,0.4666648,255.83137895811498,648.9793265100644,159.89461184882185,405.61207906879025,15.375612301434932,0.625,-39.6059132028424,-38.15604371124283,14.68914110583508,-203.20783704945416,-332.8008504198184,-73.2184749484978,340.7599611367775
