frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
66,0.5499978,142.4418930286923,180.82141713731343,178.0523662858654,226.0267714216418,3.366379341968517,1.25,0.0,-0.0,2.2605077092537664,,,,
67,0.5583311,142.45493950239955,180.81839262430796,178.06867437799943,226.02299078038496,3.8757291128025795,1.25,0.016308092134039498,0.003780641256838635,3.029235230241216,,,,
68,0.5666644,142.45479793219585,180.8021506020202,178.06849741524482,226.00268825252525,4.060430091497735,1.25,0.016131129379431286,0.024083169116551062,3.7509174006185972,,,,
69,0.5749977,142.47259743641138,180.79081171078644,178.09074679551424,225.98851463848305,3.8436376049372476,1.25,0.03838050964884587,0.0382567831587437,3.8585961110234503,36.3282410836504,2.283197455598928,1.122744600864258,2.5443164229362787
70,0.5833309999999999,142.49755885069118,180.78523155886407,178.121948563364,225.9815394485801,3.6084108518869034,1.25,0.06958227749859702,0.04523197306170346,3.8962333575110466,17.008946555472065,2.287360444738959,1.1999954063083909,2.583022798838146
71,0.5916643,142.5179993061193,180.7839924669839,178.1474991326491,225.9799905837299,3.904772893992786,1.25,0.09513284678371292,0.04678083791191057,3.774178366365682,1.142168601492143,2.9406623695418785,0.7851286845891289,3.0436692039386135
72,0.5999976,142.5311845455761,180.7783929374304,178.16398068197014,225.972991171788,4.06391534524056,1.25,0.11161439610475554,0.053780249853787154,3.7379385018947904,-0.037621527338956406,3.17744986992585,0.33897303784527727,3.1954796817188273
73,0.6083309,142.55281961909228,180.77597975055104,178.19102452386534,225.9699746881888,3.4501551357709084,1.25,0.13865823799994814,0.05679673345298397,3.798507568652668,-0.13548788549417023,3.2888037170282223,0.10707100357581413,3.2905461687910385
74,0.6166642,142.5785120084156,180.77951265472134,178.2231400105195,225.97439081840167,3.662438282582792,1.25,0.17077372465411145,0.052380603240123946,3.85702855365458,36.44385592212827,3.1348083268754454,0.1715841913317075,3.1395006579012823
75,0.6249975,142.60718520275162,180.7816625396877,178.25898150343954,225.9770781746096,3.9112561856762924,1.25,0.20661521757415358,0.04969324703219513,3.890588051530102,55.8553317370761,2.70743341443275,0.018889456776568753,2.7074993084328374
76,0.6333308,142.62249249904067,180.77827301681742,178.27811562380086,225.97284127102176,4.197377819002346,1.25,0.22574933793546847,0.053930150620033146,5.292666289145037,26.147526486921656,74.65356177381774,-112.35646420406223,134.89673581653466
77,0.6416641,142.62143196506608,180.7777632913898,178.2767899563326,225.97220411423723,4.231712834618172,1.25,0.22442367046721756,0.054567307404568055,6.065234681717668,-27.598686032995445,233.28600071242124,-496.9064304918664,548.9429467554564
78,0.6499974,145.0412617244113,184.5211802431579,181.3015771555141,230.65147530394736,10.460546323845586,1.25,3.2492108696487207,-4.6247038823055675,4.887983481019988,-52.5797251559886,410.0820232966049,-1064.4489826059735,1140.709823926282
79,0.6583306999999999,150.35468092736286,197.3429940835928,187.9433511592036,246.678742604491,7.525280245445943,1.25,9.890984873338198,-20.651971182849195,2.707087902060777,-85.81569900809016,582.0256259347419,-1735.07735310196,1830.0948747242674
80,0.666664,156.27653130170208,216.2631533666893,195.3456641271276,270.32894170836164,-1.9749998178121118,1.25,17.293297841262216,-44.30217028671984,1.6997749333180936,-45.01840658264147,716.0038081834745,-2537.4088829411294,2636.4948876418835
81,0.6749973,162.02326909344868,238.6139534432358,202.52908636681084,298.2674418040448,-6.707100075793703,1.25,24.476720080945455,-72.24067038240298,1.7170264664244406,109.84282042750505,686.8053759156933,-3285.39833726,3356.418308086385
82,0.6833306,166.48813010400752,265.35772106824317,208.1101626300094,331.69715133530394,-0.8048520090952443,1.25,30.05779634414401,-105.67037991366215,4.189475243842027,346.218214801267,424.1615486529582,-3795.909915199131,3819.5346710905437
83,0.6916639,167.93468268088432,294.03402009871303,209.9183533511054,367.5425251233913,10.54680398937732,1.25,31.865987065240006,-141.51575370174947,9.464749358362607,538.730889663894,0.8066516208829171,-4184.925157503402,4184.925235245155
84,0.6999972,164.4933426609217,323.8728184689085,205.61667832615214,404.84102308613564,19.887524132533873,1.25,27.56431204028675,-178.81425166449384,17.132789149077734,662.1719384703646,-536.6651765011745,-4435.297071790839,4467.646989938376
85,0.7083305,156.3034195815113,355.76010062678154,195.37927447688912,444.7001257834769,24.401370754790786,1.25,17.326908191023733,-218.6733543618351,24.1468055474987,688.2946021320103,-1137.8419575040584,-4529.574788397353,4670.303211135396
