frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,158.0,360.5,0.0,0.0,-90.0,0.5714285714285714,-54.0,,,,
1,0.008496933207256183,158.4906463623047,360.5,0.280369349888403,0.0,-90.0,0.5714285714285714,-72.0,,,,
2,0.016993866414512365,158.15963745117188,360.5,0.09122140066965301,0.0,-90.0,0.5714285714285714,-90.0,,,,
3,0.025490799621768548,158.4035186767578,360.5,0.2305821010044724,0.0,-90.0,0.5714285714285714,-90.0,-847.364551936382,3.1893400494024795,0.0,3.1893400494024795
4,0.03398773282902473,158.503173828125,360.5,0.2875279017857224,0.0,-90.0,0.5714285714285714,-90.0,-423.682275968191,-1.4885639239587132,0.0,1.4885639239587132
5,0.04248466603628091,158.23712158203125,360.5,0.135498046875,0.0,-90.0,0.5714285714285714,-90.0,0.0,4.0794409370638105,0.0,4.0794409370638105
6,0.050981599243537096,158.37997436523438,360.5,0.2171282087053612,0.0,-90.0,0.5714285714285714,-90.0,0.0,-2.523149714758903,0.0,2.523149714758903
7,0.05947853245079328,158.4629364013672,360.5,0.2645350864955418,0.0,-90.0,0.5714285714285714,-90.0,0.0,-1.9690172737433143,0.0,1.9690172737433143
8,0.06797546565804946,158.21592712402344,360.5,0.12338692801340301,0.0,-90.0,0.5714285714285714,-90.0,0.0,2.8041153857779304,0.0,2.8041153857779304
9,0.07647239886530564,158.35678100585938,360.5,0.2038748604910694,0.0,-90.0,0.5714285714285714,-90.0,0.0,1.53679396975074,0.0,1.53679396975074
10,0.08496933207256183,158.4456024169922,360.5,0.2546299525669724,0.0,-90.0,0.5714285714285714,-90.0,0.0,0.712778506536154,0.0,0.712778506536154
11,0.09346626527981801,158.49423217773438,360.5,0.2824183872767918,0.0,-90.0,0.5714285714285714,-90.0,0.0,0.22616812962920374,0.0,0.22616812962920374
12,0.10196319848707419,158.51593017578125,360.5,0.2948172433035694,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.030169432899752824,0.0,0.030169432899752824
13,0.11046013169433037,158.2327423095703,360.5,0.13299560546875,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.13196561465693613,0.0,0.13196561465693613
14,0.11895706490158656,158.3545379638672,360.5,0.2025931222098194,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.14756341670020168,0.0,0.14756341670020168
15,0.12745399810884275,158.435791015625,360.5,0.2490234375,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.12375624516002193,0.0,0.12375624516002193
16,0.13595093131609892,158.48326110839844,360.5,0.2761492047991112,0.0,-90.0,0.5714285714285714,-90.0,0.0,3.7997066714697847,0.0,3.7997066714697847
17,0.14444786452335512,158.50672912597656,360.5,0.2895595005580418,0.0,-90.0,0.5714285714285714,-90.0,0.0,2.1676840155593267,0.0,2.1676840155593267
18,0.1529447977306113,158.51524353027344,360.5,0.2944248744419724,0.0,-90.0,0.5714285714285714,-90.0,0.0,-2.853782071231522,0.0,2.853782071231522
19,0.16144173093786748,158.5157012939453,360.5,0.2946864536830418,0.0,-90.0,0.5714285714285714,-90.0,0.0,-1.8795351462308438,0.0,1.8795351462308438
20,0.16993866414512365,158.22361755371094,360.5,0.127781459263403,0.0,-90.0,0.5714285714285714,-90.0,0.0,-1.0824053681177779,0.0,1.0824053681177779
21,0.17843559735237985,158.34352111816406,360.5,0.1962977818080418,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.5237577738789558,0.0,0.5237577738789558
22,0.18693253055963602,158.42625427246094,360.5,0.2435738699776806,0.0,-90.0,0.5714285714285714,-90.0,0.0,-0.18060612892374805,0.0,0.18060612892374805
23,0.19542946376689221,158.47630310058594,360.5,0.2721732003348194,0.0,-90.0,0.5714285714285714,-90.0,0.0,3.889188798981595,0.0,3.889188798981595
24,0.20392639697414838,158.5022735595703,360.5,0.2870134626116112,0.0,-90.0,0.5714285714285714,-90.0,-6.27154269601903,2.300675801403043,0.0,2.300675801403043
25,0.21242333018140458,158.5127716064453,360.5,0.2930123465401806,0.0,-90.0,0.5714285714285714,-90.0,-6.27154269601903,1.1579315674857644,0.0,1.1579315674857644
26,0.22092026338866075,158.5145721435547,360.5,0.294041224888403,0.0,-90.0,0.5714285714285714,-90.26644439697264,-6.27154269601903,0.16459785840569502,-0.08414603734002121,0.1848594346842202
27,0.22941719659591694,158.51234436035156,360.5,0.2927682059151806,0.0,-90.0,0.5714285714285714,-90.26644439697264,-6.27154269601903,-0.11185265939009884,-0.04802481155480492,0.12172674290192764
28,0.2379141298031731,158.48854064941406,360.4937438964844,0.2791660853794724,-0.0035749162946672186,88.66777801513672,0.5714285714285714,-90.26644439697264,-6.27154269601903,-0.20564470588792302,-0.022986234590288382,0.20692537795149762
