frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,508.7518615722656,481.89227294921875,74.27034475507527,70.34923692689324,0.9877604246139526,0.145985401459854,0.0,0.0,0.5995865106582642,,,
1,0.03333333333333333,508.75775146484375,481.804443359375,74.27120459340784,70.33641508895985,1.005086064338684,0.145985401459854,0.0008598383325733039,-0.012821837933387314,0.8006037235260011,,,
2,0.06666666666666667,508.7587890625,481.7889709472656,74.27135606751824,70.3341563426665,1.005086064338684,0.145985401459854,0.0010113124429693698,-0.015080584226737415,1.0016209363937378,,,
3,0.1,508.7589416503906,481.7868347167969,74.27137834312272,70.33384448420392,1.005086064338684,0.145985401459854,0.0010335880474485748,-0.015392442689318386,1.0016209363937378,0.004971914917831555,-0.16936587591237642,0.1694388381142784
4,0.13333333333333333,508.75885009765625,481.7884216308594,74.27136497776003,70.33407615049042,1.005086064338684,0.145985401459854,0.0010202226847582097,-0.015160776402822762,0.9981558084487916,-0.0009623061131946995,-0.12769267506848792,0.12769630103962262
5,0.16666666666666666,508.7575378417969,481.69891357421875,74.27117340756158,70.32100928090784,0.9877604246139526,0.145985401459854,0.0008286524863052591,-0.028227645985396066,0.9981558084487916,-0.000561345232654275,-0.10050752737222979,0.10050909494642633
6,0.2,508.75665283203125,481.6586608886719,74.27104420905565,70.31513297644844,0.9877604246139526,0.145985401459854,0.0006994539803741873,-0.03410395044480197,0.9946906805038451,0.0008553832116433577,-0.008901331546581986,0.008942336592912221
7,0.23333333333333334,508.7581481933594,481.6742248535156,74.27126250997946,70.31740508810446,1.005086064338684,0.145985401459854,0.0009177549041936572,-0.03183183878877571,0.9912255525588989,0.03309263800178997,0.00048115305651211596,0.03309613569861752
8,0.26666666666666666,508.7599182128906,481.77667236328125,74.27152090699133,70.33236092894616,0.9877604246139526,0.145985401459854,0.001176151916055801,-0.016875997947082055,0.7936734676361084,0.14223418966702187,0.19278199133208326,0.2395734978919784
9,0.3,508.796630859375,481.7889709472656,74.276880417427,70.3341563426665,0.9877604246139526,0.145985401459854,0.006535662351723204,-0.015080584226737415,0.7936734676361084,0.1138996207801313,0.140683807595849,0.18101120775665683
