frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
65,0.5416645,447.4311751598851,481.8154985312041,559.2889689498563,602.2693731640052,-2.147004745828888,1.25,0.0,-0.0,-1.3450863869289706,,,,
66,0.5499978,447.4426731001546,481.8126540643486,559.3033413751932,602.2658175804357,-2.3572682550463417,1.25,0.014372425336887318,0.003555583569436749,-1.8670812130581917,,,,
67,0.5583311,447.45749746160516,481.8118953630703,559.3218718270065,602.2648692038379,-2.2211589337696234,1.25,0.032902877150149834,0.004503960167312471,-2.3410872914124483,,,,
68,0.5666644,447.466071213479,481.8134105861989,559.3325890168487,602.2667632327486,-2.609974130646105,1.25,0.043620066992389184,0.0026099312565293076,-2.3562244202819937,-21.716339035585342,1.4735309904043188,0.28844446448253724,1.501497182405798
69,0.5749977,447.47784220057656,481.81136553080086,559.3473027507207,602.2642069135011,-2.370030391771283,1.25,0.05833380086437501,0.005166250504089476,-2.2741255925432142,-8.386120790557024,1.2345590933067012,0.41197847166993373,1.3014846967927662
70,0.5833309999999999,447.4802926630944,481.8058837541806,559.350365828868,602.2573546927258,-2.2226903901766164,1.25,0.06139687901168145,0.01201847127936162,-2.2499302273551858,3.999617879233815,0.8201183495354104,0.5006245148323601,0.9608428654550241
71,0.5916643,447.48382490532356,481.7989215035567,559.3547811316545,602.2486518794459,-1.946774116352444,1.25,0.06581218179815096,0.020721284559272135,-2.216501514977935,4.484056099415871,0.5128188111484474,0.5441934540186772,0.7477497231457095
72,0.5999976,447.4848346305739,481.7952079459925,559.3560432882174,602.2440099324906,-2.1001821078294807,1.25,0.06707433836106702,0.02536323151457509,-2.1744372130473524,1.6329241190919432,0.1739645306389282,0.5166435755404315,0.5451460740642128
73,0.6083309,447.48316510547477,481.79527087695743,559.3539563818434,602.2440885961968,-2.44283056875985,1.25,0.06498743198710599,0.025284567808398606,-2.169389496815682,-0.17214237495705875,0.03839026100390766,0.42076115401789416,0.4225088885105474
74,0.6166642,447.48364099506927,481.79414414716865,559.3545512438366,602.2426801839608,-2.1597088821183696,1.25,0.06558229398024196,0.02669298004434495,-2.2060873597350694,-0.2810165248701053,-0.2802304588127228,0.3418658984584204,0.44204230858049337
75,0.6249975,447.4815723333425,481.79185843848154,559.3519654166781,602.2398230481019,-2.1974518090182666,1.25,0.06299646682180082,0.029550115903248297,-2.2571027976213336,-1.5515991482430749,-0.5121460073732685,0.3428719324844742,0.6163235310727783
76,0.6333308,447.47448392739386,481.78752601919024,559.3431049092424,602.2344075239878,-2.1302634309493795,1.25,0.05413595938603066,0.03496564001738989,-2.2282104900114352,-1.8863110029531012,-0.5958043847507695,0.4807644774214471,0.7655830115921852
77,0.6416641,447.4677631652809,481.7837789272926,559.3347039566012,602.2297236591157,-2.3552592972608006,1.25,0.04573500674484876,0.03964950488943941,-2.2390869189576224,-1.2000223478269878,-0.8409575263634144,0.4816820447495385,0.9691373243154807
78,0.6499974,447.46330503875697,481.7792454584786,559.3291312984462,602.2240568230983,-2.2983690307103584,1.25,0.0401623485898881,0.045316340906879304,-2.2479854742202274,0.4036899387187459,-0.990180593408061,0.4506916256420772,1.0879248820510716
79,0.6583306999999999,447.45560918965145,481.77808814323464,559.3195114870643,602.2226101790433,-2.2140910268493057,1.25,0.030542537208020804,0.046762984961901566,-2.2560880908908025,-0.44146737011940995,-0.9949767028345514,0.2520374649807248,1.0264022227847256
80,0.666664,447.4485664455863,481.7768354443857,559.3107080569829,602.2210443054821,-2.2419445853312916,1.25,0.021739107126563795,0.0483288585230639,-2.240282450789709,-0.44324131735026207,-0.8399002079815343,0.00815614812119586,0.8399398086289276
81,0.6749973,447.441318169963,481.77912480396253,559.3016477124537,602.2239060049532,-2.170776514302255,1.25,0.01267876259737477,0.045467159052009265,-2.2466048901885154,0.09643957011956997,-0.6619323043815347,-0.18079787471330105,0.6861794569095575
82,0.6833306,447.43976660366826,481.78350705677605,559.2997082545853,602.22938382097,-2.276231096755333,1.25,0.010739304728986099,0.03998934303513124,-2.257555233306997,-0.6198125896270121,-0.5923582241830618,-0.32003467122592183,0.6732833404622414
83,0.6916639,447.44124071686855,481.78527203019604,559.3015508960857,602.231590037745,-2.32998122770439,1.25,0.012581946229374807,0.03778312626013758,-2.24396717487184,-1.7253186848324527,-0.5029346746187837,-0.4350825546528652,0.665011365539842
84,0.6999972,447.43586399449316,481.7887559229375,559.2948299931164,602.2359449036719,-2.2688427424417146,1.25,0.005861043260097176,0.033428260333266735,-2.281913512156496,-1.0916931479870162,-0.21271492021343247,-0.49926527887775474,0.5426909396463969
85,0.7083305,447.4318020234903,481.79133813819647,559.2897525293629,602.2391726727456,-2.1740042931555057,1.25,0.0007835795065602724,0.03020049125962032,-2.31217044177128,-0.8982240200793183,-0.08575877179834356,-0.4878812509254514,0.49536116313750683
86,0.7166638,447.4342277009845,481.79576691335643,559.2927846262306,602.2447086416955,-2.360508200725536,1.25,0.003815676374301802,0.024664522309649328,-2.2920919227391163,-1.7798365393581383,0.022233065340565655,-0.4802593164375247,0.48077366839239055
87,0.7249971,447.43690798937615,481.79976970008937,559.2961349867202,602.2497121251117,-2.4275157448292517,1.25,0.007166036863850422,0.019661038893445948,-2.2949810844396317,-1.1499913569293592,0.21687341161155121,-0.3455766737445495,0.40799180641329075
88,0.7333303999999999,447.44198181608215,481.8012806100427,559.3024772701027,602.2516007625534,-2.2295886325435728,1.25,0.013508320246387484,0.017772401451793485,-2.318126734039006,-0.037902859322097804,0.33540697910620504,-0.25588089634137234,0.4218683144603472
89,0.7416637,447.44309307929706,481.8002750993188,559.3038663491213,602.2503438741485,-2.2832885509442913,1.25,0.01489739926500988,0.019029289856689502,-2.3298296270299934,-0.29806904845146315,0.3770777958267758,-0.12569632647800133,0.3974760755009588
90,0.749997,447.4429822114063,481.79986746729037,559.3037277642578,602.249834334113,-2.2897325411523775,1.25,0.014758814401488962,0.01953882989221256,-2.3137497212592244,1.6691203696779464,0.4607594531603406,0.0018457070723389788,0.46076314990590667
