frame,t_s,x_px,y_px,vx_px_s,vy_px_s
109,3.6333333333333333,360.5,386.0,15.0,0.0
110,3.6666666666666665,360.5,386.0,0.0,0.0
111,3.7,360.5,386.0,0.0,0.0
112,3.7333333333333334,360.0,386.0,-15.0,0.0
113,3.7666666666666666,358.5,388.0,-45.0,60.0
114,3.8,357.0,390.0,-45.0,60.0
115,3.8333333333333335,354.0,394.0,-90.0,120.0
116,3.8666666666666667,351.0,402.0,-90.0,240.0
117,3.9,347.0,410.0,-120.0,240.0
118,3.933333333333333,342.0,418.0,-150.0,240.0
119,3.966666666666667,341.0,427.0,-30.0,270.0
120,4.0,341.0,435.0,0.0,240.0
121,4.033333333333333,342.0,443.0,30.0,240.0
122,4.066666666666666,346.0,450.0,120.0,210.0
123,4.1,350.0,459.5,120.0,285.0
124,4.133333333333334,354.0,464.0,120.0,135.0
125,4.166666666666667,360.0,469.0,180.0,150.0
126,4.2,366.0,474.0,180.0,150.0
127,4.233333333333333,373.0,478.0,210.0,120.0
128,4.266666666666667,378.5,482.0,165.0,120.0
129,4.3,385.0,484.0,195.0,60.0
130,4.333333333333333,391.0,487.0,180.0,90.0
131,4.366666666666666,397.0,490.0,180.0,90.0
132,4.4,404.0,491.0,210.0,30.0
133,4.433333333333334,411.0,491.0,210.0,0.0
134,4.466666666666667,417.0,490.0,180.0,-30.0
135,4.5,423.0,488.0,180.0,-60.0
136,4.533333333333333,430.0,485.0,210.0,-90.0
137,4.566666666666666,435.0,481.0,150.0,-120.0
138,4.6,439.0,478.0,120.0,-90.0
139,4.633333333333334,445.0,474.0,180.0,-120.0
140,4.666666666666667,448.0,468.0,90.0,-180.0
141,4.7,452.0,463.0,120.0,-150.0
142,4.733333333333333,456.0,458.0,120.0,-150.0
143,4.766666666666667,458.0,455.0,60.0,-90.0
144,4.8,459.0,450.0,30.0,-150.0
145,4.833333333333333,461.0,446.0,60.0,-120.0
146,4.866666666666666,465.0,441.0,120.0,-150.0
147,4.9,467.0,437.0,60.0,-120.0
148,4.933333333333334,467.0,433.0,0.0,-120.0
149,4.966666666666667,467.5,429.5,15.0,-105.0
150,5.0,468.0,425.0,15.0,-135.0
151,5.033333333333333,467.0,421.0,-30.0,-120.0
152,5.066666666666666,467.0,419.0,0.0,-60.0
153,5.1,466.0,415.0,-30.0,-120.0
154,5.133333333333334,465.0,411.0,-30.0,-120.0
155,5.166666666666667,464.5,408.0,-15.0,-90.0
156,5.2,463.0,405.0,-45.0,-90.0
157,5.233333333333333,462.0,403.0,-30.0,-60.0
158,5.266666666666667,461.0,399.0,-30.0,-120.0
159,5.3,459.0,398.0,-60.0,-30.0
160,5.333333333333333,458.0,396.0,-30.0,-60.0
161,5.366666666666666,456.0,393.0,-60.0,-90.0
162,5.4,454.0,391.5,-60.0,-45.0
163,5.433333333333334,451.0,389.0,-90.0,-75.0
164,5.466666666666667,447.5,387.0,-105.0,-60.0
165,5.5,445.0,384.5,-75.0,-75.0
166,5.533333333333333,442.0,380.5,-90.0,-120.0
167,5.566666666666666,437.0,378.0,-150.0,-75.0
168,5.6,432.0,376.0,-150.0,-60.0
169,5.633333333333334,427.0,373.0,-150.0,-90.0
170,5.666666666666667,421.0,369.0,-180.0,-120.0
171,5.7,415.0,367.0,-180.0,-60.0
172,5.733333333333333,410.0,365.0,-150.0,-60.0
173,5.766666666666667,405.0,365.0,-150.0,0.0
174,5.8,399.0,365.0,-180.0,0.0
175,5.833333333333333,391.5,366.0,-225.0,30.0
176,5.866666666666666,387.0,368.0,-135.0,60.0
177,5.9,387.0,367.0,0.0,-30.0
178,5.933333333333334,387.0,367.0,0.0,0.0
179,5.966666666666667,384.0,368.0,-90.0,30.0
180,6.0,380.0,372.0,-120.0,120.0
181,6.033333333333333,376.0,375.0,-120.0,90.0
182,6.066666666666666,374.0,376.0,-60.0,30.0
183,6.1,374.0,376.0,0.0,0.0
184,6.133333333333334,374.0,376.0,0.0,0.0
185,6.166666666666667,374.0,376.0,0.0,0.0
186,6.2,374.0,376.0,0.0,0.0
187,6.233333333333333,374.0,377.0,0.0,30.0
188,6.266666666666667,375.0,376.0,30.0,-30.0
189,6.3,377.0,380.0,60.0,120.0
190,6.333333333333333,375.0,377.0,-60.0,-90.0
