frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,cumulative_angle,pid_voltage,pid_error,pid_output,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
665,5.517398899999989,232.5000304384157,318.5,50.77703367464964,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,0.0,-0.0,0.0,,,,
666,5.521451999999954,232.50003049778752,318.5,50.777033687616196,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.2966559381766274e-08,-0.0,0.0,,,,
667,5.534651599999961,232.50003051263047,318.5,50.777033690857834,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.6208197450851003e-08,-0.0,0.0,,,,
668,5.539324600000327,232.5000305163412,318.5,50.777033691668244,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7018606968122185e-08,-0.0,0.0,7.297421901213492e-07,0.0,7.297421901213492e-07,0.0
669,5.550600900000063,232.5000305172689,318.5,50.77703369187085,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.722121112379682e-08,-0.0,0.0,9.015826909307267e-08,0.0,9.015826909307267e-08,0.0
670,5.554632400000173,232.50003051750082,318.5,50.777033691921496,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.72718586100018e-08,-0.0,0.0,4.115973561569364e-08,0.0,4.115973561569364e-08,0.0
671,5.564751800000067,232.5000305175588,318.5,50.77703369193416,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7284520481553045e-08,-0.0,0.0,6.4892314725722745e-09,0.0,6.4892314725722745e-09,0.0
672,5.570092100000238,232.5000305175733,318.5,50.777033691937326,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7287689502154535e-08,-0.0,0.0,2.903303162022831e-09,0.0,2.903303162022831e-09,0.0
673,5.581253400000151,232.50003051757693,318.5,50.77703369193812,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7288485310018586e-08,-0.0,0.0,3.9161429964436645e-10,0.0,3.9161429964436645e-10,0.0
674,5.5863539000001765,232.50003051757784,318.5,50.777033691938314,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7288677156557242e-08,-0.0,0.0,1.419964546590297e-10,0.0,1.419964546590297e-10,0.0
675,5.597421299999951,232.50003051757807,318.5,50.777033691938364,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7288726894548745e-08,-0.0,0.0,2.331321209255684e-11,0.0,2.331321209255684e-11,0.0
676,5.601921200000106,232.50003051757812,318.5,50.77703369193838,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.728874110540346e-08,-0.0,0.0,9.053083540191884e-12,0.0,9.053083540191884e-12,0.0
677,5.613371700000243,232.50003051757812,318.5,50.77703369193838,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.728874110540346e-08,-0.0,0.0,1.5304273827856813e-12,0.0,1.5304273827856813e-12,0.0
678,5.6178131000001486,232.50003051757812,318.5,50.77703369193838,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.728874110540346e-08,-0.0,0.0,6.316075786000352e-13,0.0,6.316075786000352e-13,0.0
679,5.629449200000181,232.50003051757812,318.5,50.77703369193838,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.728874110540346e-08,-0.0,0.0,-4.282811556389811e-05,0.0,4.282811556389811e-05,0.0
680,5.633364900000288,232.50003051757812,318.5,50.77703369193838,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.728874110540346e-08,-0.0,0.0,-0.00015764113963241037,0.0,0.00015764113963241037,0.0
681,5.645036400000208,232.50001907348633,318.5,50.777031192596624,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-2.4820530128977225e-06,-0.0,0.0,-0.00021843293469554298,0.0,0.00021843293469554298,0.0
682,5.650478600000042,232.50000476837158,318.5,50.777028068419426,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-5.6062302107307005e-06,-0.0,0.0,-0.00039198925964458863,0.0,0.00039198925964458863,0.0
683,5.6612708000002385,232.4999897480011,318.5,50.77702478803337,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-8.886616264192071e-06,-0.0,0.0,-0.00040648006730423204,0.0,0.00040648006730423204,0.0
684,5.665096000000176,232.49997454881668,318.5,50.7770214685951,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.2206054535113253e-05,-0.0,0.0,-0.0003661374094853167,0.0,0.0003661374094853167,0.0
685,5.676549600000271,232.49997074902058,318.5,50.77702063873553,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.303591410817262e-05,-0.0,0.0,-0.00025412970890527337,0.0,0.00025412970890527337,0.0
686,5.693243900000198,232.49996979907155,318.5,50.77702043127064,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3243378994332033e-05,-0.0,0.0,-0.0001935407080363653,0.0,0.0001935407080363653,0.0
687,5.696941600000173,232.4999695615843,318.5,50.77702037940442,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3295245217648244e-05,-0.0,0.0,-2.0173146731954093e-05,0.0,2.0173146731954093e-05,0.0
688,5.709729500000321,232.49996950221248,318.5,50.77702036643786,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.330821177703001e-05,-0.0,0.0,-5.695603381806518e-06,0.0,5.695603381806518e-06,0.0
689,5.7131641000000855,232.49996948736953,318.5,50.77702036319622,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3311453415099095e-05,-0.0,0.0,-3.221521182466181e-06,0.0,3.221521182466181e-06,0.0
690,5.7253835000001345,232.4999694836588,318.5,50.77702036238581,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312263824616366e-05,-0.0,0.0,-4.1704014790037356e-07,0.0,4.1704014790037356e-07,0.0
691,5.728945600000316,232.4999694827311,318.5,50.77702036218321,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.331246642877204e-05,-0.0,0.0,-2.1485799309737608e-07,0.0,2.1485799309737608e-07,0.0
692,5.740969400000267,232.49996948249918,318.5,50.77702036213256,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312517076258246e-05,-0.0,0.0,-2.6146128999215587e-08,0.0,2.6146128999215587e-08,0.0
693,5.745107000000189,232.4999694824412,318.5,50.7770203621199,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312529738129797e-05,-0.0,0.0,-1.2934099615306285e-08,0.0,1.2934099615306285e-08,0.0
694,5.757347199999913,232.4999694824267,318.5,50.77702036211673,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312532907150398e-05,-0.0,0.0,-1.5617923605606438e-09,0.0,1.5617923605606438e-09,0.0
695,5.7603916000002755,232.49996948242307,318.5,50.777020362115934,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533702958262e-05,-0.0,0.0,-7.221189801630637e-10,0.0,7.221189801630637e-10,0.0
696,5.772678700000142,232.49996948242216,318.5,50.777020362115735,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533901910228e-05,-0.0,0.0,-1.1019189301996662e-10,0.0,1.1019189301996662e-10,0.0
697,5.776256300000114,232.49996948242193,318.5,50.777020362115685,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.331253395164822e-05,-0.0,0.0,-5.841135672870369e-11,0.0,5.841135672870369e-11,0.0
698,5.78890679999995,232.49996948242188,318.5,50.77702036211568,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533958753647e-05,-0.0,0.0,-6.131244788320462e-12,0.0,6.131244788320462e-12,0.0
699,5.792120600000089,232.49996948242188,318.5,50.77702036211568,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533958753647e-05,-0.0,0.0,-2.8928571131980114e-12,0.0,2.8928571131980114e-12,0.0
700,5.804443800000172,232.49996948242188,318.5,50.77702036211568,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533958753647e-05,-0.0,0.0,-1.1233433236145766e-13,0.0,1.1233433236145766e-13,0.0
701,5.808383200000208,232.49996948242188,318.5,50.77702036211568,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533958753647e-05,-0.0,0.0,0.00015795125945256157,0.0,0.00015795125945256157,0.0
702,5.821206200000233,232.49996948242188,318.5,50.77702036211568,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.3312533958753647e-05,-0.0,0.0,0.00020747808942180084,0.0,0.00020747808942180084,0.0
703,5.824370900000304,232.49998092651367,318.5,50.77702286145743,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.0813192204750521e-05,-0.0,0.0,0.00039240317276817297,0.0,0.00039240317276817297,0.0
704,5.836987000000136,232.49999523162842,318.5,50.77702598563463,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-7.689015006917543e-06,-0.0,0.0,0.0004441497318342665,0.0,0.0004441497318342665,0.0
705,5.840534800000114,232.5000102519989,318.5,50.77702926602068,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-4.408628953456173e-06,-0.0,0.0,0.0005001721152772552,0.0,0.0005001721152772552,0.0
706,5.8533643999999185,232.50002545118332,318.5,50.777032585458954,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-1.0891906825349906e-06,-0.0,0.0,0.0003454010523904014,0.0,0.0003454010523904014,0.0
707,5.856326999999965,232.50002925097942,318.5,50.77703341531852,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-2.593311165810519e-07,-0.0,0.0,0.00029822851412211076,0.0,0.00029822851412211076,0.0
708,5.869374300000345,232.50003020092845,318.5,50.777033622783414,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,-5.186622331621038e-08,-0.0,0.0,0.00011351521614743127,0.0,0.00011351521614743127,0.0
709,5.873780400000214,232.5000304384157,318.5,50.77703367464964,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,0.0,-0.0,0.0,6.190123941544728e-05,0.0,6.190123941544728e-05,0.0
710,5.886025400000108,232.50003049778752,318.5,50.777033687616196,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.2966559381766274e-08,-0.0,0.0,5.894351374318532e-06,0.0,5.894351374318532e-06,0.0
711,5.890915400000267,232.50003051263047,318.5,50.777033690857834,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.6208197450851003e-08,-0.0,0.0,2.7166405204247476e-06,0.0,2.7166405204247476e-06,0.0
712,5.901375400000234,232.5000305163412,318.5,50.777033691668244,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.7018606968122185e-08,-0.0,0.0,3.649818410352288e-07,0.0,3.649818410352288e-07,0.0
713,5.91767690000006,232.5000305172689,318.5,50.77703369187085,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.722121112379682e-08,-0.0,0.0,1.5339870335559202e-07,0.0,1.5339870335559202e-07,0.0
714,5.921524000000318,232.50003051750082,318.5,50.777033691921496,69.55906713164778,0.0,0.0,1.2,0.0,0.0,0.21839581517000872,1.72718586100018e-08,-0.0,0.0,2.1020414098360164e-08,0.0,2.1020414098360164e-08,0.0
