frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
97,0.8083300999999999,240.7139115376784,364.99996956320376,150.446194711049,228.12498097700237,0.0,0.625,0.0,-0.0,0.0,,,,
98,0.8166633999999999,240.70322419708236,364.9999694945392,150.43951512317648,228.12498093408698,0.0,0.625,-0.006679587872525872,4.291538857614796e-08,0.0,,,,
99,0.8249967,240.67867073283378,364.9999720782336,150.4241692080211,228.124982548896,0.0,0.625,-0.022025503027890636,-1.5718936481334822e-06,0.0,,,,
100,0.83333,240.64151351580887,364.99997765377606,150.40094594738054,228.12498603361004,0.0,0.625,-0.04524876366846797,-5.056607676579006e-06,0.0,0.0,-1.5037363570674511,-0.00030309913522077667,1.5037363876143899
101,0.8416633,240.6134992899445,364.99998367809576,150.3834370562153,228.12498979880985,0.0,0.625,-0.062757654833689,-8.821807483627708e-06,0.0,0.0,-1.2557434072990945,-0.00039565548023456773,1.2557434696300032
102,0.8499966,240.6136628482036,364.999989769732,150.38353928012725,228.12499360608248,0.0,0.625,-0.06265543092175108,-1.2629080117676494e-05,0.0,0.0,-0.783763367799335,-0.0004484489987130973,0.7837634960947467
103,0.8583299,240.619508304794,364.99999587146567,150.38719269049625,228.12499741966604,0.0,0.625,-0.05900202055275372,-1.6442663678617464e-05,0.0,-4.839707835393849,-0.1282064086988145,-0.00045636802781501794,0.12820722094805842
104,0.8666632,240.62642005065072,365.00000197471394,150.3915125316567,228.12500123419622,0.0,0.625,-0.05468217939230158,-2.0257193853012723e-05,0.0,-20.52695995940237,0.6468121234006992,-0.00045755588085016473,0.6468122852385423
105,0.8749965,240.63296645608398,365.0000080781896,150.3956040350525,228.12500504886847,0.0,0.625,-0.05059067599651712,-2.4071866107533424e-05,-0.20165368652343751,-48.24141147189597,1.086932852129157,-0.23598037414754944,1.112254360306329
106,0.8833297999999999,240.65661992568798,365.00001418169916,150.410387453555,228.12500886356196,0.0,0.625,-0.03580725749401381,-2.788655959307107e-05,-0.8552865771484375,-163.7783581701189,1.314680658039996,-1.4409843435099894,1.950595065836421
107,0.8916630999999999,240.68612474849678,365.015721731747,150.4288279678105,228.1348260823419,-1.0082684326171876,0.625,-0.017366743238511617,-0.00984510533953653,-2.0100507710937503,-376.06570509446567,1.8133317626874765,-4.173457181936589,4.550375471434129
108,0.8999964,240.70715333141516,365.09606111010385,150.44197083213447,228.1850381938149,-3.268164453125,0.625,-0.0042238789145301325,-0.06005721681253817,-6.824070960695313,-668.7706150221009,26.461884642008467,-94.56656812953877,98.19911988712353
109,0.9083297,240.74730835127474,365.2782313405878,150.46706771954672,228.29889458786738,-5.773820969726563,0.625,0.020873008497716228,-0.17391361086501433,-15.669341701318594,-1006.9836758446479,83.10383919424376,-198.7115068643355,215.38920829307483
110,0.916663,242.39708504238197,371.3044207357406,151.49817815148873,232.0652629598379,-24.070100948007813,0.625,1.0519834404397272,-3.940281982835529,-28.066984517341826,-1331.7506251081395,176.01994065262525,-305.7351368722007,352.7846275358622
111,0.9249963,246.19685371094712,378.2473949829197,153.87303356934194,236.40462186432478,-44.2263537031164,0.625,3.426838858292939,-8.279640887322415,-42.81277190672946,-1466.2082146680377,333.7654449129432,-396.84491803021126,518.5414748931275
112,0.9333296,252.42074052002096,385.3979826605239,157.7629628250131,240.87373916282743,-62.99648251273334,0.625,7.316768113964088,-12.748758185825068,-57.49943819216203,-1384.428132436894,597.8279101941021,-462.14691279094654,755.6308485029248
