frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deviation_deg,vx_mm_s,vy_mm_s,speed_mm_s
61,0.0,397.9680571074097,427.3943722903693,265.3120380716065,284.92958152691284,-84.56688515190791,0.6666666666666666,0.0,0.0,-50.780717182012424,,,
62,0.0860805000002074,397.96920636884573,427.38769298344795,265.31280424589715,284.92512865563197,-84.56053411465228,0.6666666666666666,0.0007661742906748259,-0.00445287128087557,-67.7068263063344,,,
63,0.18171350000011444,397.97185861645966,427.3826496445386,265.3145724109731,284.9217664296924,-84.77616664350194,0.6666666666666666,0.002534339366604854,-0.007815097220429834,-84.62046098053771,,,
64,0.2733545999999478,397.9740437155646,427.37573500161244,265.3160291437097,284.9171566677416,-84.63054562160988,0.6666666666666666,0.0039910721032470065,-0.012424859171233038,-84.66250062100926,-0.0002732885883935327,-0.03765436631563086,0.03765535804217326
65,0.3682180000005246,397.97091368624086,427.3697043664528,265.3139424574939,284.9131362443019,-84.56817337101651,0.6666666666666666,0.0019043858874283615,-0.016445282610959566,-84.66754537786585,-0.001961595692661082,-0.03217704490294478,0.032236781420414654
66,0.47309730000051786,397.9673495468325,427.3683354462277,265.311566364555,284.91222363081846,-84.77708335426564,0.6666666666666666,-0.0004717070514743682,-0.01735789609438143,-84.63974504800504,-0.004934803207194961,-0.029431112757990877,0.02984196174629468
67,0.5631180999998833,397.9674115445737,427.3650484431549,265.31160769638245,284.91003229543657,-84.58575789893521,0.6666666666666666,-0.0004303752240275571,-0.019549231476275963,-84.62742946282847,-0.008971233251548838,-0.025470770971048395,0.027004503326543465
68,0.6435864000004585,397.967848853268,427.3624620394224,265.311899235512,284.9083080262816,-84.6371649941979,0.6666666666666666,-0.00013883609449294454,-0.021273500631252773,-84.66923052327135,-0.00803353189835413,-0.01976560825670885,0.021335812722264657
69,0.7358660999998392,397.9672555750604,427.3582401555228,265.3115037167069,284.9054934370152,-84.56896769572708,0.6666666666666666,-0.0005343548995710989,-0.02408808989764566,-84.63096771986044,-0.001742709283491243,-0.020614515791595962,0.020688047200466405
70,0.8321136000004117,397.96475676277265,427.35623983802566,265.30983784184843,284.9041598920171,-84.7771786732309,0.6666666666666666,-0.0022002297580456798,-0.02542163489573568,-84.66965511411519,-0.0019338193075525724,-0.014917993422041045,0.01504281173365947
71,0.9460126000003584,397.9662599926873,427.3540280167195,265.31083999512487,284.90268534447966,-84.58576933721105,0.6666666666666666,-0.0011980764816144074,-0.02689618243317682,-84.70270330210936,-0.007114409742043503,-0.011860517636219136,0.013830643679046491
72,1.0229120000003604,397.96620273181327,427.3545055696954,265.3108018212088,284.90300371313026,-84.77919487020898,0.6666666666666666,-0.0012362503976532935,-0.026577813782580506,-54.44221706593086,-0.07481327901390539,4.607073375736909,4.6076807741140975
73,1.1215890000003128,397.9629049581117,427.35359667285655,265.3086033054078,284.90239778190437,-84.80240593416873,0.6666666666666666,-0.003434766198665784,-0.02718374500847176,-23.581938705687577,3.0618290467487363,21.357675699367547,21.57603087666657
74,1.2171987000001536,397.9137452565399,430.6613340672787,265.2758301710266,287.10755604485246,66.73346348516539,0.6666666666666666,-0.03620790057988188,2.1779745179396173,6.594180187959095,11.837939074129544,45.73604975080423,47.24323283107161
75,1.2962877999998454,399.77224855605914,440.59561582054096,266.5148323707061,293.7304105470273,69.52421312798548,0.6666666666666666,1.202794299099594,8.800829020114463,36.71701183526262,27.697911082446662,82.2137419321314,86.75409869749222
76,1.395172300000013,406.28221301583073,458.6735205347022,270.8548086772205,305.7823470231348,66.29482513102232,0.6666666666666666,5.54277060561401,20.852765496221934,66.6945578997237,46.51511280392552,122.02443677877459,130.58950528407354
77,1.4860423000000083,417.0911127751285,483.53454401038107,278.06074185008566,322.35636267358734,65.83496336630861,0.6666666666666666,12.748703778479182,37.4267811466745,66.42609121066216,66.27672340855818,157.24726962138718,170.6438040749085
78,1.5834294000005684,430.83200340308565,512.6115078955024,287.2213356020571,341.7410052636683,65.08532438813673,0.6666666666666666,21.9092975304506,56.811423736755444,65.40027120406853,85.34427266854557,184.15607564450335,202.9707000384713
79,1.683600600000318,445.62708017354873,542.5394068483879,297.08472011569916,361.69293789892527,65.39113003985766,0.6666666666666666,31.772682044092676,76.76335637201242,65.00183710991791,104.06575785652214,212.10676153472207,236.26036537472754
80,1.778408799999852,461.41316450405964,573.5819608319457,307.60877633603974,382.38797388796377,64.3951130950173,0.6666666666666666,42.29673826443326,97.45839236105093,64.25185253326828,112.61695442540677,219.92066676936514,247.0782833361449
81,1.857801400000426,477.7875041555894,604.7394700281121,318.5250027703929,403.15964668540806,64.30265466026927,0.6666666666666666,53.212964698786436,118.23006515849522,63.07038972342579,118.8440753201374,222.28439145419955,252.06004229719218
82,1.9506437000000005,494.78535279618995,635.581049898748,329.8569018641266,423.72069993249863,62.08504048306044,0.6666666666666666,64.54486379252012,138.7911184055858,61.699391713100155,125.14821622036173,222.9631762911611,255.6846769068921
83,2.046962000000349,512.873833192866,666.0464256732888,341.915888795244,444.0309504488592,59.17801033892428,0.6666666666666666,76.60385072363749,159.10136892194635,60.98664038447827,128.3628963383507,217.4954419612925,252.549599940899
84,2.1425129999997807,531.5042683383049,695.0803982992354,354.33617889220324,463.3869321994903,58.53613998822951,0.6666666666666666,89.02414082059676,178.45735067257743,60.75061352094208,124.51631354949328,201.60737480685398,236.95958709549404
85,2.2393158000004405,549.9563897624645,722.8063438025024,366.6375931749763,481.8708958683349,60.83135645190785,0.6666666666666666,101.32555510336982,196.94131434142207,63.018113295364614,127.28566924966299,205.46307598513945,241.6955051084107
86,2.3409693000003244,567.9892928149557,750.5870282305316,378.65952854330374,500.3913521536877,63.12252034258832,0.6666666666666666,113.34749047169726,215.46177062677486,67.09158002854923,116.93243625730933,198.37441503607707,230.27288852571306
87,2.4163759000002756,583.3611685804465,777.8171771593844,388.90744572029763,518.5447847729229,73.4225393551731,0.6666666666666666,123.59540764869115,233.61520324601003,55.38435203090333,90.93524083908638,157.85996358973708,182.17844584641662
88,2.518791499999679,594.6422215517155,804.7662014518373,396.42814770114364,536.5108009678916,79.54534400484734,0.6666666666666666,131.11610962953716,251.5812194409787,43.218080740521756,65.51983078340778,119.67106064742825,136.43317405369868
