frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
1098,9.15,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1099,9.158333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1100,9.166666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1101,9.175,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1102,9.183333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1103,9.191666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1104,9.2,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1105,9.208333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1106,9.216666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1107,9.225,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1108,9.233333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1109,9.241666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1110,9.25,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1111,9.258333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1112,9.266666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1113,9.275,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1114,9.283333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1115,9.291666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1116,9.3,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1117,9.308333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1118,9.316666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1119,9.325,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1120,9.333333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1121,9.341666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1122,9.35,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1123,9.358333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1124,9.366666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1125,9.375,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1126,9.383333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1127,9.391666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1128,9.4,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1129,9.408333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1130,9.416666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1131,9.425,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1132,9.433333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1133,9.441666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1134,9.45,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1135,9.458333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1136,9.466666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1137,9.475,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1138,9.483333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1139,9.491666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1140,9.5,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1141,9.508333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1142,9.516666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1143,9.525,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1144,9.533333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1145,9.541666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1146,9.55,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1147,9.558333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1148,9.566666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1149,9.575,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1150,9.583333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1151,9.591666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1152,9.6,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1153,9.608333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1154,9.616666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1155,9.625,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
