frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
34,0.2833322,424.8395268222381,735.9552598209773,265.5247042638988,459.9720373881108,81.68287236124263,0.625,0.0,0.0,49.01156034987342,,,,
35,0.29166549999999997,424.8386704173786,735.9550586875021,265.5241690108616,459.9719116796888,81.67536997631787,0.625,-0.0005352530371851572,-0.00012570842199011167,65.32920280310053,,,,
36,0.2999988,424.83139550279236,735.9558482196292,265.51962218924524,459.9724051372682,81.69955941180658,0.625,-0.005082074653557811,0.00036774915741943914,81.63326557619872,,,,
37,0.3083321,424.82224472580947,735.9562208608742,265.5139029536309,459.97263803804634,81.58821226613553,0.625,-0.010801310267879671,0.0006006499355635242,81.62078190820635,782.4286685842494,-0.4616241546873452,0.05068297366058275,0.4643981309285012
38,0.3166654,424.8153728416839,735.9565413444631,265.50960802605243,459.9728383402894,81.52031386549096,0.625,-0.015096237846364602,0.000800952178622083,81.6243018123832,391.3184539323232,-0.5980703539873802,0.09304895482512703,0.6052654428534961
39,0.3249987,424.808752001692,735.9586386723724,265.5054700010575,459.9741491702328,81.62045402128079,0.625,-0.01923426284128027,0.0021117821220286714,81.61262446943911,0.08115466873755764,-0.6797817305220345,0.11162161327688111,0.6888850308303015
40,0.333332,424.79879921993154,735.961261926344,265.4992495124572,459.975788703965,81.69296949720213,0.625,-0.025454751441600365,0.003751315854231052,81.63407316387176,0.6785713137044886,-0.7168630602255517,0.1386873943161942,0.7301553536461666
41,0.3416653,424.78607690203273,735.9632896307485,265.49129806377044,459.9770560192178,81.64117269708613,0.625,-0.03340620012835416,0.00501863110702061,81.63664700720368,-34.26023615276405,-0.7296236222151731,0.15667706572823797,0.7462562113775671
42,0.3499986,424.7744540462912,735.9654666501785,265.48403377893203,459.9784166563616,81.69545573829878,0.625,-0.04067048496676762,0.006379268250839232,81.64905559984882,-46.3526863666641,-0.6560521750788937,0.1387531805343692,0.6705646139889508
43,0.3583319,424.7667314614358,735.9669864403977,265.4792071633974,459.97936652524857,81.53318308215054,0.625,-0.045497100501393106,0.007329137137787711,80.19679768272405,-758.9780960368565,0.597498735441806,4.246601974966303,4.288430140814032
44,0.36666519999999997,424.7650153649673,735.9678888474073,265.4781346031046,459.97993052962954,81.6824969845065,0.625,-0.04656966079420499,0.007893141518763969,79.6812702629425,-1568.9587393487204,64.90222788977647,205.1339252516842,215.15628383623852
45,0.3749985,424.838632309628,736.244367592248,265.5241451935175,460.15272974515494,74.43167991157829,0.625,-0.0005590703813140863,0.18069235704416542,50.01011232535193,-2367.194871761978,137.76225849209192,510.91215370415955,529.1593981660579
46,0.3833318,429.1128747874237,749.6388299451473,268.1955467421398,468.5242687157171,79.06353559817846,0.625,2.6708424782410134,8.552231327606307,16.26362769413012,-3093.742947060156,203.6604885440569,877.3721655843995,900.6994568313355
47,0.3916651,433.9585678758284,770.0261406538815,271.22410492239277,481.26633790867595,-66.66033394965413,0.625,5.699400658493971,21.294300520565173,-16.983669524421675,-3865.0060078250276,253.12396031577507,1296.54718351667,1321.0247304161082
48,0.3999984,438.3440430549094,794.4582301801134,273.96502690931834,496.5363938625709,-87.19924007395849,0.625,8.440322645419542,36.56435647446011,-48.708642820957955,-3237.0538095568313,283.11875219926793,1594.316044478112,1619.2590520133595
49,0.40833169999999996,441.63987855296295,822.4040220026029,276.0249240956018,514.0025137516268,-84.55398910825247,0.625,10.50021983170302,54.030476363516016,-81.36000256209896,-2413.1123073361027,235.3077174112425,1582.5619154372473,1599.959980145034
50,0.416665,443.7131402912452,842.5316787398435,277.3207126820283,526.5822992124022,-84.1931865711031,0.625,11.796008418129475,66.6102618242914,-84.86659023054759,-1613.4912665700476,168.71916902589942,1376.7232105160062,1387.0230554573668
51,0.4249983,444.7999931994485,855.1425356244531,277.99999574965534,534.4640847652831,-84.19326310752652,0.625,12.475291485756543,74.49204737717236,-84.28231625948946,-852.0951244062795,102.55408735387121,1047.892004582198,1052.8983778600302
52,0.4333316,445.20646748577667,861.8073208954257,278.2540421786104,538.6295755596411,-84.19327229189733,0.625,12.729337914711607,78.65753817153035,-84.21220338296249,-68.4601055691797,49.1718377355194,624.1007226763065,626.0348086739077
53,0.44166489999999997,445.1809548640774,864.317417714392,278.2380967900484,540.1983860714951,-84.27787021866783,0.625,12.713392526149619,80.22634868338429,-84.21246432203218,15.69824516814712,12.429026158973265,294.8198469362212,295.08172230546126
54,0.4499982,444.9179879561741,864.0105704208306,278.07374247260884,540.0066065130192,-84.2034247256176,0.625,12.549038208710044,80.03456912490839,-84.2124955507972,2.081669362088113,-10.46663564669541,71.14796572183383,71.91372252995889
