frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,pid_error,pid_output,ch1_voltage,ch2_voltage
643,5.330730100000437,326.04153574348027,301.6520095647546,68.48901966338478,63.365700837682745,-8.125968292007807,0.21006225328686312,0.0,-0.0,-4.688554345402311,,,,,8.125968292007807,0.0,1.2,1.2
644,5.3343486000003395,326.04606661409275,301.65528144392306,68.489971428275,63.36638813599335,-7.700907769729686,0.21006225328686312,0.0009517648902175324,-0.0006872983106021024,-6.235616929825774,,,,,,0.0,1.2,1.2
645,5.345468299999993,326.0524407257888,301.65387925990655,68.49131038854057,63.366093590059315,-7.615895665274063,0.21006225328686312,0.002290725155788209,-0.00039275237656966056,-7.760172268976092,,,,,,0.0,1.2,1.2
646,5.349953500000083,326.05652906572453,301.63279201956647,68.49216919443967,63.36166395683787,-7.735312922117313,0.21006225328686312,0.0031495310548876887,0.00403688084487186,-7.655032500670219,0.12927216156337334,0.1875772222413505,0.22780804651953782,-112.75591216864962,,0.0,1.2,1.2
647,5.363104199999725,326.0619227937749,301.6274286567471,68.49330221310755,63.360537316758844,-7.622776695751588,0.21006225328686312,0.004282549722773865,0.005163520923900933,-7.719678375134045,0.0027276159646621306,0.2087673935073404,0.2087852113553529,-27.10368407794538,,0.0,1.2,1.2
648,5.368688000000475,326.0615317238344,301.62668290881567,68.49322006407465,63.36038066326798,-7.600269450478443,0.21006225328686312,0.004200400689867934,0.005320174414762846,-7.81828137815181,-0.1156650624967446,0.27988689587385224,0.30284497876682126,0.38088216823825405,,0.0,1.2,1.2
649,5.379212700000608,326.04300896855625,301.6308910030828,68.48932913236385,63.36126462503179,-8.024137142048815,0.21006225328686312,0.0003094689790685834,0.004436212650958282,-7.810718043208488,-0.22381250037371947,0.11915404813542467,0.25355418062141133,-4.3021094136853195,,0.0,1.2,1.2
650,5.383957099999861,326.03235868745156,301.62226132498944,68.48709191031686,63.35945185540635,-8.10891068036289,0.21006225328686312,-0.0019277530679175925,0.006248982276396475,-7.809205376219824,-0.2465193861171155,0.10573059511531928,0.268236400354238,-0.1776397096867286,8.10891068036289,0.5500769584318952,1.2,1.2
651,5.395359900000585,326.0133997304566,301.61227614667706,68.48310934909053,63.35735434635058,-7.697496247400703,0.21006225328686312,-0.005910314294254704,0.008346491332162032,-7.808902842822091,-0.2813802615958194,0.13372504760300957,0.3115401097325334,5.466201524053171,,0.0,1.2,1.2
652,5.400818400000389,326.0126883115204,301.6117940122552,68.48295990682576,63.35725306810753,-7.615213360808266,0.21006225328686312,-0.006059756559025686,0.00844776957521276,-7.723168508017545,-0.22751764243289258,0.13596148689747733,0.2650467949958921,5.054456134619769,,0.0,1.2,1.2
653,5.4105547999997725,326.0039273879387,301.6040059371458,68.48111956747731,63.355617087501294,-7.598756783489778,0.21006225328686312,-0.007900095907473315,0.010083750181451023,-7.620347812931635,-0.08431903932630472,0.04879493271663244,0.09741994586187988,4.363091450830635,,0.0,1.2,1.2
654,5.415569200000391,326.00153116339095,301.60574391592706,68.48061621114942,63.35598217124025,-7.595465468026081,0.21006225328686312,-0.008403452235356212,0.009718666442495305,-7.627067609461328,0.05592029713864441,0.11843460797966866,0.13097265363186347,1.4612740717802093,,0.0,1.2,1.2
655,5.424692200000209,326.01214731721495,301.6080781298607,68.48284626434294,63.3564725014788,-7.594807204933341,0.21006225328686312,-0.006173399041841776,0.009228336203946697,-7.655695504314142,0.10152144985415776,0.19096202920401867,0.21627089813057776,-2.0402815982339786,,0.0,1.2,1.2
656,5.431003200000305,326.02272066719433,301.5920906384222,68.4850673260644,63.35311413300282,-7.731095230049169,0.21006225328686312,-0.003952337320384913,0.012586704679925731,-7.747094911409705,0.1320685504770478,0.19380924433316193,0.23452958281227504,-6.254693103057677,,0.0,1.2,1.2
657,5.441151900000477,326.0324135652361,301.5736742098985,68.48710343806793,63.349245536529644,-7.758352835072334,0.21006225328686312,-0.0019162253168474308,0.01645530115310123,-7.765374792828817,0.19214375940055195,0.18507629251183744,0.266781667898123,-7.7014052897449155,7.758352835072334,0.38153972335989444,1.2,1.2
658,5.449650100000326,326.0309457985356,301.5663006325527,68.48679511568753,63.3476966262576,-8.055753818967592,0.21006225328686312,-0.0022245476972528877,0.018004211425143524,-7.85470459723764,0.11563380735467982,0.20999105000163087,0.23972362938210043,-6.430807860835198,,0.0,1.2,1.2
659,5.45854430000054,326.03941369572766,301.57123214056,68.4885739012523,63.348732549941715,-7.6868648751216435,0.21006225328686312,-0.00044576213248603835,0.016968287741029542,-7.930960450697528,0.026720795046573115,0.11245114003244201,0.1155822641347575,-2.396425818986109,,0.0,1.2,1.2
660,5.462287000000288,326.03695303330693,301.56997020555013,68.48805700895961,63.34846746503004,-8.041456226977454,0.21006225328686312,-0.0009626544251659652,0.017233372652704304,-7.918927685842632,0.0763933905260513,-0.045547761096985634,0.08894126520920345,-2.9012908712096643,,0.0,1.2,1.2
661,5.472972999999911,326.03224088283844,301.5677092261922,68.48706716401438,63.34799251861148,-8.112374497348616,0.21006225328686312,-0.0019524993704038707,0.01770831907126791,-7.8581312402935275,0.10820700340177296,-0.048132820518224824,0.11842940511642769,0.09413779819759771,,0.0,1.2,1.2
662,5.4764696000002,326.03971457861974,301.5745139764699,68.48863710539058,63.34942193978787,-7.698189010797848,0.21006225328686312,-0.00038255799420028325,0.01627889789487824,-7.873255886730581,0.15067483207602123,0.13594504263420806,0.20293831485935288,2.484381945840448,,0.0,1.2,1.2
663,5.488867900000514,326.0469617257096,301.56451930222295,68.49015945743817,63.34732243599468,-7.75177159122207,0.21006225328686312,0.0011397940533868223,0.018378401688067925,-7.817890923439868,0.19729265581728653,0.1621017822146422,0.2553456086103726,0.4690705048301589,,0.0,1.2,1.2
664,5.4921463000000585,326.053396925568,301.5519727210635,68.49151125002078,63.34468687288528,-7.762488107306915,0.21006225328686312,0.002491586635997578,0.021013964797461426,-7.806817930781724,0.21018157888256458,0.09274789454258317,0.22973564817774764,-1.6060100958460677,7.762488107306915,0.3882039892383875,1.2,1.2
665,5.504309599999942,326.05889671674356,301.5402987832932,68.49266654854773,63.342234619212526,-7.764631410523883,0.21006225328686312,0.0036468851629507526,0.02346621847021879,-7.890277160375096,0.03729155022119704,0.11331324399231131,0.11929187307591888,-4.787777799486248,,0.0,1.2,1.2
666,5.520332000000053,326.05674688426404,301.5633583872295,68.4922149498929,63.34707857157529,-8.057009534057903,0.21006225328686312,0.0031952865081166237,0.018622266107456653,-7.965358898871894,0.026564239326602845,0.0819733152305378,0.08617008309666502,-5.475641394489004,,0.0,1.2,1.2
667,5.52395979999983,326.049571852902,301.56864263635816,68.49070774663757,63.34818859285418,-8.115485158764706,0.21006225328686312,0.0016880832527874645,0.01751224482856628,-8.03876513914938,-0.11430853738162505,-0.07621181746493737,0.13738516237074258,-6.028107308249755,,0.0,1.2,1.2
668,5.536240600000383,326.0536145818778,301.5679037621169,68.49155697139567,63.348033383266156,-8.127180283706068,0.21006225328686312,0.0025373080108863633,0.017667454416589123,-8.026162451658003,-0.11694102202743123,-0.14563794848714343,0.18677691150772358,-3.7182014998779778,,0.0,1.2,1.2
669,5.540337500000533,326.0479190263288,301.5676503790058,68.49036055016332,63.3479801570389,-8.12951930869434,0.21006225328686312,0.0013408867785358325,0.017720680643847686,-8.023641914159725,-0.1724933991491467,-0.09729695054232136,0.1980420898063383,2.3323501181097823,,0.0,1.2,1.2
670,5.552900300000147,326.05281227611346,301.5763532075444,68.49138843723898,63.34980829281169,-7.701617973066993,0.21006225328686312,0.0023687738542008674,0.015892544871057623,-7.964747914081946,-0.08173710148815917,0.013165305935879147,0.0827905733768702,7.792650293585503,7.701617973066993,0.3840493267868679,1.2,1.2
