time_s,value
0.0,-0.12625489651808927
1.0638297872340427e-08,-0.12833208237875401
2.1276595744680853e-08,-0.13040424841769377
3.191489361702128e-08,-0.13247135933802895
4.2553191489361707e-08,-0.13453338004153076
5.319148936170213e-08,-0.13659027562954504
6.382978723404255e-08,-0.13864201140391363
7.446808510638299e-08,-0.14068855286788268
8.510638297872341e-08,-0.14272986572700802
9.574468085106382e-08,-0.14476591589004784
1.0638297872340426e-07,-0.14679666946985145
1.1702127659574468e-07,-0.1488220927842376
1.276595744680851e-07,-0.15084215235686435
1.3829787234042553e-07,-0.15285681491809402
1.4893617021276598e-07,-0.15486604740584548
1.5957446808510638e-07,-0.15686981696644306
1.7021276595744683e-07,-0.1588680909554527
1.8085106382978725e-07,-0.16086083693851425
1.9148936170212765e-07,-0.16284802269216142
2.021276595744681e-07,-0.16482961620463735
2.1276595744680852e-07,-0.16680558567669906
2.2340425531914897e-07,-0.168775899522414
2.3404255319148937e-07,-0.17074052636995063
2.446808510638298e-07,-0.17269943506235672
2.553191489361702e-07,-0.17465259465833347
2.6595744680851066e-07,-0.17659997443299708
2.7659574468085106e-07,-0.17854154387863574
2.872340425531915e-07,-0.18047727270545572
2.9787234042553196e-07,-0.18240713084231855
3.0851063829787236e-07,-0.18433108843747276
3.1914893617021275e-07,-0.1862491158592729
3.297872340425532e-07,-0.18816118369689436
3.4042553191489365e-07,-0.19006726276103514
3.510638297872341e-07,-0.19196732408461348
3.617021276595745e-07,-0.19386133892345248
3.7234042553191495e-07,-0.19574927875696022
3.829787234042553e-07,-0.19763111528879815
3.9361702127659574e-07,-0.19950682044754137
4.042553191489362e-07,-0.2013763663873324
4.1489361702127664e-07,-0.20323972548852215
4.2553191489361704e-07,-0.20509687035830695
4.361702127659575e-07,-0.20694777383135182
4.4680851063829794e-07,-0.20879240897040952
4.574468085106383e-07,-0.21063074906692783
4.6808510638297873e-07,-0.2124627676416478
4.787234042553192e-07,-0.21428843844519638
4.893617021276596e-07,-0.21610773545866557
5e-07,-0.21792063289418734
5.106382978723404e-07,-0.219727105195495
5.212765957446809e-07,-0.22152712703848032
5.319148936170213e-07,-0.22332067333173722
5.425531914893617e-07,-0.22510771921710043
5.531914893617021e-07,-0.2268882400701724
5.638297872340426e-07,-0.22866221150084165
5.74468085106383e-07,-0.23042960935379436
5.851063829787235e-07,-0.232190409709013
5.957446808510639e-07,-0.23394458888227032
6.063829787234043e-07,-0.2356921234256098
6.170212765957447e-07,-0.23743299012782149
6.276595744680851e-07,-0.2391671660149045
6.382978723404255e-07,-0.240894628350524
6.48936170212766e-07,-0.24261535463645695
6.595744680851064e-07,-0.24432932261302837
6.702127659574469e-07,-0.24603651025954124
6.808510638297873e-07,-0.24773689579469327
6.914893617021278e-07,-0.24943045767698854
7.021276595744682e-07,-0.25111717460513616
7.127659574468086e-07,-0.25279702551844324
7.23404255319149e-07,-0.25446998959719563
7.340425531914895e-07,-0.25613604626303166
7.446808510638299e-07,-0.25779517517930584
7.553191489361701e-07,-0.2594473562514421
7.659574468085106e-07,-0.2610925696272807
7.76595744680851e-07,-0.2627307956974126
7.872340425531915e-07,-0.2643620150955073
7.978723404255319e-07,-0.2659862086986291
8.085106382978724e-07,-0.26760335762754656
8.191489361702128e-07,-0.26921344324702956
8.297872340425533e-07,-0.2708164471661407
8.404255319148936e-07,-0.27241235123851426
8.510638297872341e-07,-0.274001137562627
8.617021276595745e-07,-0.27558278848206097
8.72340425531915e-07,-0.2771572865857542
8.829787234042554e-07,-0.2787246147082451
8.936170212765959e-07,-0.28028475592990465
9.042553191489363e-07,-0.28183769357716226
9.148936170212766e-07,-0.2833834112227187
9.25531914893617e-07,-0.2849218926857538
9.361702127659575e-07,-0.28645312203212137
9.468085106382979e-07,-0.2879770835745358
9.574468085106384e-07,-0.289493761872751
9.680851063829788e-07,-0.2910031417337269
9.787234042553193e-07,-0.2925052082117898
