frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps
0,0.0,417.5398864746094,393.753662109375,57.991650899251304,54.688008626302086,-3.48931884765625,0.1388888888888889,-2.0686294555664064,
1,0.03333333333333333,417.5811767578125,394.7413330078125,57.997385660807296,54.82518513997396,-3.4473876953125,0.1388888888888889,-2.7264770507812504,
2,0.06666666666666667,417.56463623046875,394.7799377441406,57.99508836534289,54.830546908908424,-3.4064407348632812,0.1388888888888889,-3.39976806640625,
3,0.1,417.7503356933594,394.0849914550781,58.020879957411026,54.73402659098308,-3.2892379760742188,0.1388888888888889,-3.3673858642578125,-7.89254150390625
4,0.13333333333333333,417.71771240234375,393.0959167480469,58.016348944769966,54.5966551038954,-3.366455078125,0.1388888888888889,-3.364634704589844,-4.202609252929687
5,0.16666666666666666,417.7497253417969,391.953857421875,58.02079518636068,54.4380357530382,-3.3274078369140625,0.1388888888888889,-3.384053039550781,-0.21084594726562222
6,0.2,417.8368835449219,391.2204895019531,58.032900492350265,54.33617909749349,-3.4336318969726562,0.1388888888888889,-3.4269119262695313,-0.49997863769531026
7,0.23333333333333334,417.7850036621094,391.02783203125,58.02569495307075,54.30942111545139,-3.5035324096679688,0.1388888888888889,-3.4349090576171872,-0.4838562011718722
8,0.26666666666666666,417.87017822265625,391.28466796875,58.037524753146705,54.3450927734375,-3.5035324096679688,0.1388888888888889,-3.450715637207031,-0.2508361816406238
9,0.3,417.8990173339844,392.3176574707031,58.04153018527561,54.488563537597656,-3.4064407348632812,0.1388888888888889,-3.445277404785156,0.12282714843750053
10,0.3333333333333333,417.89642333984375,393.3070373535156,58.04116990831164,54.6259774102105,-3.4064407348632812,0.1388888888888889,-3.4258590698242184,0.17080993652343593
11,0.36666666666666664,417.8894348144531,393.8414306640625,58.040199279785156,54.70019870334202,-3.4064407348632812,0.1388888888888889,-3.4064407348632812,0.2330200195312458
12,0.4,417.8717956542969,393.9026794433594,58.03774939643012,54.70870547824436,-3.4064407348632812,0.1388888888888889,-3.4064407348632812,0.200390624999999
13,0.43333333333333335,417.8690490722656,393.4385070800781,58.03736792670356,54.6442370944553,-3.4064407348632812,0.1388888888888889,-3.4118789672851566,0.08388061523437343
14,0.4666666666666667,417.85601806640625,392.6435852050781,58.03555806477865,54.53383127848308,-3.4064407348632812,0.1388888888888889,-3.411878967285156,-0.032629394531249474
15,0.5,417.7886047363281,391.9053649902344,58.0261951022678,54.43130069308811,-3.4336318969726562,0.1388888888888889,-3.411878967285156,-0.032629394531249474
16,0.5333333333333333,417.7359924316406,391.40716552734375,58.01888783772787,54.36210632324219,-3.4064407348632812,0.1388888888888889,-3.411878967285156,-0.08388061523437343
17,0.5666666666666667,417.7262878417969,391.4596252441406,58.017539978027344,54.36939239501953,-3.4064407348632812,0.1388888888888889,-3.411878967285156,-0.1330169677734397
18,0.6,417.7430725097656,391.8413391113281,58.019871181911896,54.422408209906685,-3.4064407348632812,0.1388888888888889,-3.425859069824219,-0.1821533203125006
19,0.6333333333333333,417.7889099121094,392.6418762207031,58.02623748779297,54.533593919542106,-3.4064407348632812,0.1388888888888889,-3.4340484619140628,-0.1821533203125006
20,0.6666666666666666,417.85455322265625,393.2275695800781,58.03535461425781,54.6149402194553,-3.5035324096679688,0.1388888888888889,-3.4422378540039062,-0.21478271484375272
21,0.7,417.8744201660156,393.5445861816406,58.03811391194662,54.658970303005646,-3.4473876953125,0.1388888888888889,-3.4422378540039062,-0.13090209960937663
22,0.7333333333333333,417.90606689453125,393.5009460449219,58.04250929090712,54.652909172905815,-3.4473876953125,0.1388888888888889,-3.4476760864257816,-0.1491394042968724
23,0.7666666666666667,417.8843688964844,393.0415344238281,58.039495680067276,54.58910200330946,-3.4064407348632812,0.1388888888888889,-3.4476760864257816,-0.21061706542968756
24,0.8,417.8648986816406,392.55535888671875,58.0367914835612,54.52157762315539,-3.4336318969726562,0.1388888888888889,-3.458905029296875,-0.3703674316406219
25,0.8333333333333334,417.89276123046875,392.010009765625,58.04066128200955,54.44583468967014,-3.5035324096679688,0.1388888888888889,-3.4773406982421875,-0.3377380371093698
26,0.8666666666666667,417.91522216796875,391.8323669433594,58.04378085666233,54.42116207546658,-3.5035324096679688,0.1388888888888889,-3.503965759277343,-0.25385742187499905
27,0.9,417.93560791015625,392.0274963378906,58.04661220974393,54.44826338026259,-3.5395660400390625,0.1388888888888889,-3.503965759277343,-0.11911010742187773
28,0.9333333333333333,417.9816589355469,392.4807434082031,58.05300818549262,54.511214362250435,-3.5395660400390625,0.1388888888888889,-3.4899856567382814,0.10211791992187182
29,0.9666666666666667,417.96759033203125,392.9908142089844,58.05105421278212,54.58205752902561,-3.4336318969726562,0.1388888888888889,-3.4787567138671878,0.4216186523437454
30,1.0,417.95550537109375,393.2682189941406,58.049375745985245,54.620585971408424,-3.4336318969726562,0.1388888888888889,-3.4603210449218755,0.45424804687499765
31,1.0333333333333334,417.9336242675781,393.3873291015625,58.0463367038303,54.63712904188368,-3.4473876953125,0.1388888888888889,-3.433695983886719,0.40299682617187615
32,1.0666666666666667,417.902587890625,393.1187744140625,58.04202609592014,54.599829779730904,-3.4473876953125,0.1388888888888889,-3.4282577514648436,0.3847595214843779
33,1.1,417.8813781738281,392.79156494140625,58.03908030192058,54.55438401963976,-3.4064407348632812,0.1388888888888889,-3.4228195190429687,0.32328186035156525
34,1.1333333333333333,417.8793640136719,392.4434814453125,58.03880055745443,54.50603908962674,-3.4064407348632812,0.1388888888888889,-3.4146301269531247,0.04702148437500016
35,1.1666666666666667,417.8807678222656,392.25823974609375,58.03899553087023,54.48031107584636,-3.4064407348632812,0.1388888888888889,-3.4064407348632812,-0.10211791992187727
36,1.2,417.8851318359375,392.2106018066406,58.03960164388021,54.47369469536675,-3.4064407348632812,0.1388888888888889,-3.425859069824219,-0.16737670898437357
