frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,243.5,392.0,121.75,196.0,89.27654266357422,0.5,0.0,0.0,53.487028503417974,,,
1,0.041805555555555554,243.5,392.0,121.75,196.0,89.07929992675781,0.5,0.0,0.0,71.30288848876954,,,
2,0.08361111111111111,243.5,392.0,121.75,196.0,89.07929992675781,0.5,0.0,0.0,89.1187484741211,,,
3,0.12541666666666668,243.5,392.0,121.75,196.0,89.07929992675781,0.5,0.0,0.0,87.63540649414062,-1.0981948193521598,-9.594312902304814,9.65695976633353
4,0.16722222222222222,243.17515563964844,392.0,121.58757781982422,196.0,89.07929992675781,0.5,-0.16242218017578125,0.0,86.1923583984375,0.7910521244289859,-30.302117940199327,30.31244158963962
5,0.20902777777777778,243.0408935546875,387.9890441894531,121.52044677734375,193.99452209472656,81.85983276367188,0.5,-0.22955322265625,-2.0054779052734375,84.7975128173828,3.518325957745017,-57.10248066341362,57.210767478338106
6,0.25083333333333335,243.83070373535156,379.33203125,121.91535186767578,189.666015625,81.86405944824219,0.5,0.16535186767578125,-6.333984375,84.36924896240234,6.068139567327659,-88.31781431686048,88.52603370487132
7,0.2926388888888889,244.97085571289062,368.12799072265625,122.48542785644531,184.06399536132812,82.10507202148438,0.5,0.7354278564453125,-11.936004638671875,82.92454833984375,8.63795486399502,-121.6123744419643,121.91875935082734
8,0.33444444444444443,246.0368194580078,355.0782470703125,123.0184097290039,177.53912353515625,86.93798065185547,0.5,1.2684097290039062,-18.46087646484375,82.88694305419922,10.132058989566032,-143.19893973214286,143.55693978271455
9,0.37625,246.7863006591797,341.1592712402344,123.39315032958984,170.5796356201172,81.85579681396484,0.5,1.6431503295898438,-25.420364379882812,81.51230010986329,7.979176670213873,-152.82821908741698,153.03637413950324
10,0.41805555555555557,247.2766571044922,328.1239318847656,123.6383285522461,164.0619659423828,81.67180633544922,0.5,1.8883285522460938,-31.938034057617188,81.03888702392578,4.4177813862645365,-156.72329215116278,156.78554491749404
11,0.4598611111111111,247.16644287109375,315.44134521484375,123.58322143554688,157.72067260742188,74.9908447265625,0.5,1.833221435546875,-38.279327392578125,78.76944580078126,0.08796362385797352,-155.8671615448505,155.86718636598158
12,0.5016666666666667,246.81773376464844,302.60894775390625,123.40886688232422,151.30447387695312,79.73800659179688,0.5,1.6588668823242188,-44.695526123046875,76.90626678466796,-3.663593685112128,-152.01603379360466,152.06017377679123
13,0.5434722222222222,246.07359313964844,289.9171142578125,123.03679656982422,144.95855712890625,75.59077453613281,0.5,1.2867965698242188,-51.04144287109375,75.27316741943359,-6.336556368095931,-151.6073861866695,151.73974921871988
14,0.5852777777777778,245.2547149658203,277.6081237792969,122.62735748291016,138.80406188964844,72.53990173339844,0.5,0.8773574829101562,-57.19593811035156,75.3638427734375,-6.662423270089287,-151.84580045681065,151.9918912317344
15,0.6270833333333333,244.62762451171875,264.7436218261719,122.31381225585938,132.37181091308594,73.50630950927734,0.5,0.563812255859375,-63.62818908691406,75.49014282226562,-4.913297634188124,-151.6381187058763,151.7176968527388
16,0.6688888888888889,244.3811798095703,251.96136474609375,122.19058990478516,125.98068237304688,75.44422149658203,0.5,0.44058990478515625,-70.01931762695312,78.29751281738281,-1.163711294383306,-151.7741520777098,151.778613325081
17,0.7106944444444444,244.76370239257812,239.21578979492188,122.38185119628906,119.60789489746094,80.3695068359375,0.5,0.6318511962890625,-76.39210510253906,81.71505737304688,2.869037615500411,-152.32960038802946,152.35661630272546
18,0.7525,245.58709716796875,226.4670867919922,122.79354858398438,113.2335433959961,89.62762451171875,0.5,1.043548583984375,-82.7664566040039,82.53266143798828,6.965076535247091,-151.8974836482558,152.05708740408645
19,0.7943055555555556,246.45413208007812,213.92588806152344,123.22706604003906,106.96294403076172,89.62762451171875,0.5,1.4770660400390625,-89.03705596923828,83.0582763671875,11.642478359894103,-150.90937110672755,151.3578065056065
20,0.8361111111111111,247.53941345214844,201.24203491210938,123.76970672607422,100.62101745605469,77.59432983398438,0.5,2.0197067260742188,-95.37898254394531,84.21856384277343,14.2001028472799,-149.51005599823503,150.1828877251623
21,0.8779166666666667,249.24838256835938,188.87286376953125,124.62419128417969,94.43643188476562,78.07229614257812,0.5,2.8741912841796875,-101.56356811523438,80.62944641113282,15.225773301235467,-147.0483885096553,147.83454513714696
22,0.9197222222222222,250.70013427734375,176.7122802734375,125.35006713867188,88.35614013671875,86.17094421386719,0.5,3.600067138671875,-107.64385986328125,62.703921508789065,13.15180274735258,-117.04950782547762,117.78606537995833
23,0.9615277777777778,251.9523162841797,164.99269104003906,125.97615814208984,82.49634552001953,71.68203735351562,0.5,4.226158142089844,-113.50365447998047,47.185055541992185,10.555780860672762,-86.70939397970311,87.34954787465084
