frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,pid_error,pid_output,ch1_voltage,ch2_voltage
736,6.08301930000016,269.5226746335718,364.0417692388181,56.60806615396779,76.45998832527017,-4.763648970651212,0.2100308118080566,0.0,-0.0,-2.7881215169871254,,,,,4.763648970651212,0.0,1.2,1.2
737,6.096529999999802,269.51152803339295,364.03680949720456,56.60572502448333,76.45894662671273,-4.471699520692742,0.2100308118080566,-0.002341129484463522,0.0010416985574437376,-3.7385157186214175,,,,,,0.0,1.2,1.2
738,6.10080999999991,269.50695610502794,364.0371488464691,56.6047647786573,76.45901790051424,-4.705259093591674,0.2100308118080566,-0.0033013753104924604,0.0009704247559341184,-4.690778396838901,,,,,,0.0,1.2,1.2
739,6.113721800000349,269.50439405555386,364.0385611984337,56.604226669326366,76.45931453794392,-4.75197100817146,0.2100308118080566,-0.0038394846414249173,0.0006737873262494531,-4.690684976242781,-0.037023345347813666,-0.00543437972526308,0.03742005590244122,-61.57493204947026,,0.0,1.2,1.2
740,6.117887600000358,269.50959003000173,364.0394178264639,56.605317984057784,76.45949445622452,-4.761313391087418,0.2100308118080566,-0.0027481699100064816,0.000493869045655515,-4.749056184701682,-0.016083506919152023,-0.029907057847672114,0.033957492603583335,-47.604772926723165,,0.0,1.2,1.2
741,6.129169300000285,269.50917240984415,364.0405703989988,56.60523027095706,76.4597365319697,-4.763181867670609,0.2100308118080566,-0.002835883010732232,0.00025179330047819803,-4.7607304263934624,0.02390883523892977,-0.029065709646698575,0.03763572610895765,-2.2531719706648383,,0.0,1.2,1.2
742,6.133905099999538,269.5076260492384,364.0415909640075,56.604905487583686,76.45995088206699,-4.763555562987247,0.2100308118080566,-0.0031606663841046156,3.744320318332939e-05,-4.763065274731818,0.0825938316166652,-0.02483993354669632,0.0862482656041635,-1.7568925157462258,4.763555562987247,0.3258384697546469,1.2,1.2
743,6.147480599999653,269.50604927354004,364.04239542166596,56.60457431610372,76.46011984296204,-4.763630302050575,0.2100308118080566,-0.003491837864068259,-0.00013151769186947604,-4.705142351821364,0.02656793479016188,0.01143184666151905,0.0289230405923509,1.0915054299544524,,0.0,1.2,1.2
744,6.1521356000002925,269.5116288955335,364.0424363187954,56.60574620864058,76.46012843261936,-4.763645249863241,0.2100308118080566,-0.0023199453272084725,-0.00014010734918201706,-4.693557767239274,0.023751676074786565,0.017131160854646273,0.029285129137317345,2.06831653896941,,0.0,1.2,1.2
745,6.1622097999998005,269.510757870856,364.03580896983556,56.60556326662047,76.45873648513718,-4.471698776535148,0.2100308118080566,-0.0025028873473189606,0.0012518401329941753,-4.691240850322855,0.0888973636261075,0.023258007087649957,0.09188947792517682,2.701367465955141,,0.0,1.2,1.2
